Region,City,ZipCode,Population,HouseholdSize,IncomeLevel,FoodType,DemandAmount,EmergencyStatus,SeasonalFactor,SupplyType,DistributionPriority
Snyderview,East Michelle,40466,2203562,2,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Nealton,Sarashire,94180,4853240,6,Low,Dairy,1000,None,Summer,Perishable,High
East Kevinborough,Port Zachary,54389,3084967,1,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Jeffreyhaven,Butlerville,28283,2092801,6,Medium,Fresh Produce,477,Economic,Holiday,Perishable,Standard
Jonesfurt,Lake Michaelshire,86171,3764337,5,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Julieside,Lake Alexisland,77981,3078430,2,Medium,Dairy,1000,Weather,Normal,Perishable,Standard
Leeport,Michaelchester,94874,3798641,5,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Patriciamouth,Cannonside,76797,2380438,6,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Drakeburgh,South Anthonyfurt,98247,3244204,3,Low,Fresh Produce,1000,None,Summer,Perishable,Medium
Thomasborough,Marystad,74584,1088606,3,Low,Meat/Poultry,958,None,Normal,Perishable,Medium
Richardberg,Powellstad,85874,4144209,4,High,Fresh Produce,1000,None,Holiday,Perishable,Standard
East Debbie,Lake Sarah,56075,4442264,6,High,Canned Goods,966,None,Normal,Non-Perishable,Standard
New Mary,Foleyshire,18803,1229354,6,Low,Meat/Poultry,1000,Health,Normal,Perishable,High
Lake Kirkburgh,Lake Jessicaland,66561,3723316,4,Low,Canned Goods,1000,None,BackToSchool,Non-Perishable,High
Mccormickfort,South Matthewstad,74971,1621436,6,Medium,Dairy,1000,None,Summer,Perishable,Standard
Port Elizabethfurt,Tracyburgh,74049,1604661,4,Low,Canned Goods,1000,None,Summer,Non-Perishable,High
New Davidton,Johnview,22805,3000864,1,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Lake Danny,Robertport,54618,2204466,4,Medium,Dry Goods,1000,Weather,Normal,Non-Perishable,Standard
Marcusburgh,Lake Mary,80332,1858874,3,Low,Fresh Produce,1000,Weather,Normal,Perishable,Medium
New Jennifer,South Joseph,16277,2713052,1,High,Dry Goods,480,None,BackToSchool,Non-Perishable,Standard
Ericfort,Freystad,61176,3387614,2,Low,Fresh Produce,1000,None,Holiday,Perishable,Medium
Lake Kenneth,South Jacquelinetown,69255,2093646,5,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
South Michellehaven,Tonyafort,09269,4371664,3,Medium,Fresh Produce,1000,Weather,Normal,Perishable,Standard
Mollyberg,Port Amyville,49470,2832692,5,Medium,Meat/Poultry,1000,Weather,Summer,Perishable,Standard
Reedchester,North Meghan,15250,3535961,5,Low,Meat/Poultry,1000,None,Normal,Perishable,High
Adamsfurt,Crawfordberg,58622,4995011,2,High,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Mccannfurt,Catherineview,26846,1271790,2,Medium,Canned Goods,1000,None,Summer,Non-Perishable,Standard
Murrayfurt,Davidmouth,32854,2843139,4,Medium,Canned Goods,1000,Health,BackToSchool,Non-Perishable,Standard
West Brian,Tonyaberg,62061,3484358,1,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
Clarkview,East George,46326,2665347,4,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Mendezborough,North Thomas,34687,1252455,5,Low,Fresh Produce,1000,None,Normal,Perishable,High
Charlesshire,North Kimberly,81050,2610454,2,High,Fresh Produce,1000,None,Summer,Perishable,Standard
Farmerside,New Robertbury,22251,4275112,6,High,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Sharonshire,Stevenview,61135,2986791,1,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
New Thomasborough,New Veronicahaven,74785,3123176,2,Medium,Fresh Produce,1000,None,Summer,Perishable,Standard
North Kimberlyville,West Emma,07903,1183825,1,High,Meat/Poultry,1000,None,Normal,Perishable,Standard
North Joelville,Randyview,02294,3164252,1,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
West Timothy,Lake Kristyberg,72431,2228482,2,High,Meat/Poultry,1000,None,BackToSchool,Perishable,Standard
Rileyland,East Michael,77128,1605618,5,Low,Dry Goods,1000,None,BackToSchool,Non-Perishable,High
Sarahville,Payneport,85480,4939723,1,Medium,Meat/Poultry,280,None,Normal,Perishable,Standard
Callahantown,Lake Jamiemouth,83574,2405482,2,High,Meat/Poultry,1000,Weather,Holiday,Perishable,Standard
Chasemouth,Lake Jenniferborough,68444,4747200,5,Medium,Meat/Poultry,1000,Weather,Summer,Perishable,Standard
Lynchbury,Peckbury,18176,4976854,3,Low,Dairy,1000,None,Normal,Perishable,Medium
New Michaelmouth,Lake Barbaraberg,74341,2921426,3,Low,Canned Goods,1000,None,Holiday,Non-Perishable,Medium
